CR|Sucursal|División|Zona
4073|AGUA PRIETA MODULO ADUANAL|REGIONAL NOROESTE|SONORA NORTE
4102|D.F. TULYEHUALCO ERMITA|METROPOLITANA SUR|IZTAPALAPA
4107|TEQUESQUINAHUAC|METROPOLITANA NORTE|TLALNEPANTLA
4109|PACHUCA|BAJIO|PACHUCA NORTE
4117|BUENAVISTA|METROPOLITANA NORTE|AZCAPOTZALCO
4118|CORDOBA|METROPOLITANA SUR|CONDESA
4124|BARRILACO|METROPOLITANA SUR|LOMAS
4131|LINDAVISTA POLITECNICO|METROPOLITANA NORTE|GUSTAVO A. MADERO
4132|DEL ANGEL|METROPOLITANA SUR|CONDESA
4134|MEDICOS SATELITE|METROPOLITANA NORTE|SATELITE
4135|EL MOLINITO|METROPOLITANA NORTE|INTERLOMAS
4159|ARANDAS|REGIONAL OCCIDENTE|OCOTLAN
4163|YAHUALICA|REGIONAL OCCIDENTE|TEPATITLAN
4182|QUERETARO ABASTOS|BAJIO|QUERETARO ORIENTE
4302|MONTERREY GUERRERO|NORESTE|MONTERREY NORTE
4406|TOLUCA MODULO ADUANAL|METROPOLITANA NORTE|TOLUCA NORTE
4411|TOLUCA AEROPUERTO|METROPOLITANA NORTE|TOLUCA NORTE
4415|PUEBLA 31 PONIENTE|SUR|PUEBLA SUR
4427|VILLAHERMOSA UNION GANADERA|SURESTE|VILLAHERMOSA SUR
4447|MERIDA CAMPESTRE|SURESTE|MERIDA PONIENTE
4454|CHIHUAHUA PASCUAL OROZCO|NOROESTE|CHIHUAHUA PLAZA
4459|SAUCILLO|NOROESTE|CHIHUAHUA FORANEAS
4462|CUAUHTEMOC CAMPO 6 1/2|NOROESTE|CHIHUAHUA FORANEAS
4463|CD. JUAREZ INSURGENTES|NOROESTE|JUAREZ
4470|MONTERREY RUIZ CORTINES|NORESTE|GUADALUPE
4472|GARZA GARCIA PLAZA SAN PEDRO|NORESTE|MONTERREY VALLE
4603|POZA RICA PATIO SANTA EMILIA|SUR|TUXPAN
4604|TORRE DELPHI|NORESTE|MONTERREY SUR
4621|COMALCALCO PEMEX|SURESTE|VILLAHERMOSA NORTE
4628|COATZACOALCOS PLAZA FORUM|SUR|COATZACOALCOS
4629|MODULO SSP|METROPOLITANA SUR|LOMAS
4635|MULTIPLAZA LINDA VISTA|NORESTE|GUADALUPE
4640|PASEO CANCUN|SURESTE|CANCUN
4641|COMITAN CENTRAL DE ABASTOS|SURESTE|TAPACHULA
4642|MANZANILLO TORRE PUERTO|REGIONAL OCCIDENTE|COLIMA
4643|PLAZA ANDARES|OCCIDENTE|GUADALAJARA ZAPOPAN
4646|CAMINO REAL|OCCIDENTE|GUADALAJARA VALLARTA
4649|VILLA FLORESTA EN ROSARITO|NOROESTE|TIJUANA ENSENADA
4651|GALERIAS|SUR|CHILPANCINGO
4652|VERACRUZ COYOL|SUR|VERACRUZ
4653|PEMEX SALAMANCA|BAJIO|GUANAJUATO
4660|PEMEX CD MADERO|NORESTE|TAMAULIPAS SUR
4662|MORELIA ALTOZANO|REGIONAL OCCIDENTE|MORELIA ORIENTE
4664|FIESTA ANAHUAC MONTERREY|NORESTE|MONTERREY SAN NICOLAS
4665|PLAZA URUAPAN|REGIONAL OCCIDENTE|URUAPAN
4666|PLAZA VALLE ORIZABA|SUR|XALAPA
4669|FIRA|REGIONAL OCCIDENTE|MORELIA PONIENTE
4670|CENTRO COMERCIAL ATLACOMULCO|METROPOLITANA NORTE|TOLUCA NORTE
4671|PARQUE INDUSTRIAL OTAY|NOROESTE|TIJUANA PLAZA
4673|TUXPAN SORIANA|SUR|TUXPAN
4674|PLAZA MAZARI OAXACA|SUR|OAXACA
4676|PLAZA SAN DIEGO|SUR|PUEBLA NORTE
4677|PLAZA MIA METEPEC|METROPOLITANA NORTE|TOLUCA SUR
4678|GRAN SUR PUEBLA|SUR|PUEBLA CENTRO
4681|SENADO DE LA REPUBLICA|METROPOLITANA NORTE|REFORMA
4683|TIENDA UNAM|METROPOLITANA SUR|SAN ANGEL
4685|TOWN CENTER ZUMPANGO|METROPOLITANA NORTE|TULTITLAN
4690|PLAZA LAS AMERICAS|SUR|VERACRUZ
4691|NEZA ESTADIO|METROPOLITANA SUR|NEZA
4693|PLAZA MARAVILLAS|BAJIO|LEON SUR
4696|SAN JUAN DEL RIO MOCTEZUMA|BAJIO|QUERETARO ORIENTE
4697|CHILPANCINGO MEGA|SUR|CHILPANCINGO
4699|PARAISO PUERTO CEIBA|SURESTE|VILLAHERMOSA NORTE
4706|TORRES LANDA|BAJIO|LEON NORTE
4707|SORIANA ROSALES|REGIONAL NOROESTE|SINALOA NORTE
4710|PLAZA LAS PALMAS|SURESTE|TUXTLA
4711|SAN ISIDRO|METROPOLITANA NORTE|AZCAPOTZALCO
4718|TOWN CENTER ROSARIO|METROPOLITANA NORTE|AZCAPOTZALCO
4719|CIUDAD GRANJA|OCCIDENTE|GUADALAJARA VALLARTA
4722|PFP VALLEJO|METROPOLITANA NORTE|AZCAPOTZALCO
4725|MITRAS CENTRO|NORESTE|MONTERREY NORTE
4726|LOS ATRIOS|SUR|MORELOS SUR
4728|SAN CRISTOBAL EJE VIAL|SURESTE|TUXTLA
4730|PLAZA ANTEA|BAJIO|QUERETARO PONIENTE
4731|CANDILES|BAJIO|QUERETARO PONIENTE
4741|PLAZA ALTACIA|BAJIO|LEON SUR
4744|SANTA BARBARA LAS VILLAS|NORESTE|LA LAGUNA
4747|MEXIPUERTO|METROPOLITANA NORTE|ECATEPEC
4749|OAXACA MADERO|SUR|OAXACA
4752|NUEVO VERACRUZ|SUR|VERACRUZ
4753|"AV. DE LAS FUENTES
(ANTES FUENTES DEL PEDREGAL)"|METROPOLITANA SUR|SAN ANGEL
4754|SALTILLO COLOSIO|NORESTE|SALTILLO
4757|LAS JUNTAS|REGIONAL OCCIDENTE|PUERTO VALLARTA
4763|PFP MARINA NACIONAL|METROPOLITANA NORTE|POLANCO
4764|PACHUCA GRAN PATIO|BAJIO|PACHUCA SUR
4766|PLAZA CALABRIA|SUR|XALAPA
4769|CAMPECHE GALERIAS MALECON|SURESTE|CAMPECHE
4772|GARDEN SANTA FE|METROPOLITANA SUR|SANTA FE
4773|CENTRO LAGO DE GUADALUPE|METROPOLITANA NORTE|CUAUTITLAN
4774|HIPODROMO TAMAULIPAS|METROPOLITANA SUR|CONDESA
4775|GABRIEL MANCERA|METROPOLITANA SUR|DEL VALLE
4776|ESTACION FERROCARRIL|REGIONAL OCCIDENTE|ZAMORA
4777|PLAZA VELARIA|BAJIO|AGUASCALIENTES
4779|REYNOSA PLAZA AEROPUERTO|NORESTE|TAMAULIPAS NORTE
4780|AMARANTO|OCCIDENTE|GUADALAJARA ZAPOPAN
4781|PLAZA PATIO TULANCINGO|BAJIO|PACHUCA SUR
4782|MEGA LAS PALMAS|SUR|VERACRUZ
4783|MEXICALI UNIVERSIDAD|NOROESTE|MEXICALI
4784|PLAZA ARCOS|BAJIO|AGUASCALIENTES
4785|TUXTLA MIRADOR|SURESTE|TUXTLA
4789|PLAZA ARENAS|NORESTE|TAMAULIPAS SUR
4791|TOWN CENTER NICOLAS ROMERO|METROPOLITANA NORTE|TLALNEPANTLA
5001|POZA RICA PLAZA CRYSTAL|SUR|TUXPAN
5006|GUASAVE 16 DE SEPTIEMBRE|REGIONAL NOROESTE|SINALOA NORTE
5007|TAPACHULA PLAZA INN|SURESTE|TAPACHULA
5012|SAN LUIS RIO COLORADO RESIDENCIAS|NOROESTE|MEXICALI
5016|DURANGO BLVD. ARRIETA|NORESTE|DURANGO
5017|QUERETARO PIE DE LA CUESTA|BAJIO|QUERETARO PONIENTE
5019|LA PAZ SUROESTE|REGIONAL NOROESTE|BAJA CALIFORNIA SUR
5023|HACIENDAS DE AGUASCALIENTES|BAJIO|AGUASCALIENTES
5025|ZITACUARO PLAZA DEL SOL|REGIONAL OCCIDENTE|MORELIA ORIENTE
5026|PUEBLA ANGELOPOLIS|SUR|PUEBLA SUR
5027|JALAPA MURILLO VIDAL|SUR|XALAPA
5030|MERIDA MONTECRISTO|SURESTE|MERIDA ORIENTE
5041|SEVILLA DEL RIO|REGIONAL OCCIDENTE|COLIMA
5042|GUAYMAS GARCIA LOPEZ NORTE|REGIONAL NOROESTE|SONORA SUR
5043|PLAZA SANTA MARGARITA|OCCIDENTE|GUADALAJARA ZAPOPAN
5046|OAXACA UNIVERSIDAD|SUR|OAXACA
5047|SAYAVEDRA|METROPOLITANA NORTE|SATELITE
5048|CAMPESTRE TAXQUEÑA|METROPOLITANA SUR|COYOACAN
5049|REFINERIA TULA|BAJIO|PACHUCA NORTE
5050|LOS CABOS ARCOS DEL SOL|REGIONAL NOROESTE|BAJA CALIFORNIA SUR
5054|MONTERREY PLAZA REAL|NORESTE|MONTERREY VALLE
5055|MONTERREY LA ESTANZUELA|NORESTE|MONTERREY SUR
5058|TUXTLA MIRAVALLE|SURESTE|TUXTLA
5059|ENSENADA MISION|NOROESTE|TIJUANA ENSENADA
5060|TECATE ENCINOS|NOROESTE|TIJUANA PLAZA
5064|GALERIAS CUMBRES|NORESTE|MONTERREY NORTE
5067|LOS MOCHIS JARDINES DEL COUNTRY|REGIONAL NOROESTE|SINALOA NORTE
5072|TALAMANTE|REGIONAL NOROESTE|SONORA SUR
5076|PLAZA SAN MARCOS|METROPOLITANA NORTE|CUAUTITLAN
5079|VICTORIA CAMPESTRE|NORESTE|TAMAULIPAS SUR
5081|TLAXIACO OAXACA|SUR|OAXACA
5087|PUEBLA HERMANOS SERDAN|SUR|PUEBLA NORTE
5090|PLAZA SENDERO MONTERREY|NORESTE|MONTERREY SAN NICOLAS
5096|RODRIGUEZ TRIANA|NORESTE|LA LAGUNA
5107|CHOLULA PLAZA|SUR|PUEBLA NORTE
5110|CD JUAREZ PLAZA MISIONES|NOROESTE|JUAREZ
5111|HEROES TECAMAC|METROPOLITANA NORTE|TULTITLAN
5116|GUAMUCHIL EVORA|REGIONAL NOROESTE|SINALOA NORTE
5121|PLAZA CARRANZA|NOROESTE|MEXICALI
5122|P&G ALCE BLANCO|METROPOLITANA NORTE|INTERLOMAS
5124|PLAZA CUSPIDE|METROPOLITANA NORTE|SATELITE
5131|TLAJOMULCO MULTIPLAZA DEL VALLE|OCCIDENTE|GUADALAJARA TLAQUEPAQUE
5134|MONTERREY LAS PUENTES|NORESTE|MONTERREY SAN NICOLAS
5135|EXPO BBVA|METROPOLITANA SUR|SANTA FE
5137|BOSQUES DEL LAGO|METROPOLITANA NORTE|CUAUTITLAN
5138|PLAZA ANTARA POLANCO|METROPOLITANA NORTE|TOREO
5181|EL CASTAÑO PEMEX|SURESTE|VILLAHERMOSA NORTE
5184|OUTLET PUEBLA|SUR|PUEBLA PERIFERIA
5185|HEB CONDUCTORES|NORESTE|GUADALUPE
5187|AYOTLA|METROPOLITANA SUR|ORIENTE
5192|LOS CEDROS|METROPOLITANA NORTE|CUAUTITLAN
5196|LEON SAN JUAN BOSCO|BAJIO|LEON NORTE
5197|LEON PLAZA POLIFORUM|BAJIO|LEON SUR
5198|CORDOBA CRYSTAL|SUR|XALAPA
5199|VERACRUZ LAS BRISAS|SUR|VERACRUZ
5201|CHEDRAUI AJUSCO|METROPOLITANA SUR|SAN ANGEL
5203|PARQUE CELAYA|BAJIO|CELAYA
5205|TIJUANA MACRO PLAZA|NOROESTE|TIJUANA PLAZA
5206|SAN MARTIN CRYSTAL|SUR|PUEBLA PERIFERIA
5207|SAN MATEO ATENCO|METROPOLITANA NORTE|TOLUCA CENTRO
5215|XALAPA PLAZA AMERICAS|SUR|XALAPA
5217|CHIHUAHUA LOS NOGALES|NOROESTE|CHIHUAHUA PLAZA
5218|JUANACATLAN CENTRO|OCCIDENTE|GUADALAJARA TLAQUEPAQUE
5221|LA CURVA NICOLAS ROMERO|METROPOLITANA NORTE|TLALNEPANTLA
5227|CHALCO PLAZA LOS VOLCANES|METROPOLITANA SUR|ORIENTE
5228|LEON PLAZA OBELISCO|BAJIO|LEON SUR
5229|PLAZA EL MANANTIAL|OCCIDENTE|GUADALAJARA DEL SOL
5232|INDUSTRIAL LERMA|METROPOLITANA NORTE|TOLUCA NORTE
5234|MAZATLAN PLAZA DE TOROS|REGIONAL NOROESTE|SINALOA SUR
5235|ZARAGOZA GOMEZ FARIAS|METROPOLITANA SUR|VENUSTIANO CARRANZA
5236|TEXCOCO PLAZA LA PUERTA|METROPOLITANA SUR|NEZA
5237|HUIXQUILUCAN INTERPLAZA|METROPOLITANA NORTE|INTERLOMAS
5238|LAS HACIENDAS|NOROESTE|CHIHUAHUA PLAZA
5239|LOLA BELTRAN|REGIONAL NOROESTE|CULIACAN
5243|VILLAS DEL REAL TECAMAC|METROPOLITANA NORTE|TULTITLAN
5247|LOS OLIVOS|REGIONAL OCCIDENTE|COLIMA
5251|PACHUCA PLAZA UNIVERSIDAD|BAJIO|PACHUCA NORTE
5252|PACHUCA SAN JAVIER|BAJIO|PACHUCA SUR
5253|TOLUCA PARQUE INDUSTRIAL 2000|METROPOLITANA NORTE|TOLUCA NORTE
5257|PLAZA PATIO|NORESTE|SALTILLO
5259|PLAZA DIAMANTE|SUR|TLAXCALA
5262|TEHUACAN PLAZA PASEO|SUR|PUEBLA CENTRO
5269|IRAPUATO MERCADO DE ABASTOS|BAJIO|IRAPUATO
5270|DURANGO PLAZA PASEO|NORESTE|DURANGO
5272|QUERETARO SAN PABLO|BAJIO|QUERETARO PONIENTE
5274|ALTARIA AGUASCALIENTES|BAJIO|AGUASCALIENTES
5278|COAPA SAUCES|METROPOLITANA SUR|COAPA
5282|PLAZA TEZONTLE|METROPOLITANA SUR|IZTAPALAPA
5283|MATEHUALA|BAJIO|SAN LUIS POTOSI FORANEA
5285|TAPACHULA PLAZA COBALTO|SURESTE|TAPACHULA
5287|ANTON LIZARDO|SUR|VERACRUZ
5291|COATZACOALCOS PLAZA DEL MAR|SUR|COATZACOALCOS
5293|TONALA TONALTECAS|OCCIDENTE|GUADALAJARA TLAQUEPAQUE
5294|SALINA CRUZ REFINERIA|SUR|OAXACA
5297|NAYAR ABASTOS TEPIC|REGIONAL OCCIDENTE|NAYARIT
5301|SUCHIATE II|SURESTE|TAPACHULA
5304|NESTLE MEXICO|METROPOLITANA NORTE|POLANCO
5346|PLAZA ACOXPA|METROPOLITANA SUR|COAPA
5359|PIEDRAS NEGRAS NUEVA BUENAVISTA|NORESTE|COAHUILA NORTE
5367|SAN BUENAVENTURA|NORESTE|COAHUILA NORTE
5387|COLIMA CUAUHTEMOC|REGIONAL OCCIDENTE|COLIMA
5430|DURANGO FRANCISCO VILLA|NORESTE|DURANGO
5455|PLAZA MARINA|REGIONAL OCCIDENTE|PUERTO VALLARTA
5465|PRINCIPAL TEPATITLAN|REGIONAL OCCIDENTE|TEPATITLAN
5488|PONCITLAN|REGIONAL OCCIDENTE|OCOTLAN
5495|TENAMAXTLAN|REGIONAL OCCIDENTE|AMECA
5500|IRAPUATO INSURGENTES|BAJIO|IRAPUATO
5501|IRAPUATO PRADERA|BAJIO|IRAPUATO
5509|CELAYA GAMESA|BAJIO|CELAYA
5540|ACAPULCO VARIEDADES|SUR|ACAPULCO
5543|ACAPULCO EJIDO|SUR|ACAPULCO
5545|ACAPULCO RENACIMIENTO|SUR|ACAPULCO
5553|CHILPANCINGO INSURGENTES|SUR|CHILPANCINGO
5556|IGUALA MERCADO|SUR|CHILPANCINGO
5561|TAXCO PLATEROS|SUR|CHILPANCINGO
5563|ATOYAC CENTRO|SUR|ACAPULCO
5583|PACHUCA BODEGA AURRERA PACHUCA|BAJIO|PACHUCA SUR
5615|MORELIA CHAPULTEPEC|REGIONAL OCCIDENTE|MORELIA ORIENTE
5618|MERCADO SAN JUAN|REGIONAL OCCIDENTE|MORELIA PONIENTE
5627|MORELIA CAMPESTRE|REGIONAL OCCIDENTE|MORELIA ORIENTE
5665|TECUALA|REGIONAL OCCIDENTE|NAYARIT
5682|OAXACA MERCADO|SUR|OAXACA
5684|OAXACA PERIFERICO|SUR|OAXACA
5724|QUERETARO EJERCITO REPUBLICANO|BAJIO|QUERETARO ORIENTE
5727|JARDINES DE LA HACIENDA|BAJIO|QUERETARO PONIENTE
5729|QUERETARO PLAZA DEL RIO|BAJIO|QUERETARO PONIENTE
5768|SAN LUIS POTOSI TANGAMANGA|BAJIO|SAN LUIS POTOSI URBANA
5771|SAN LUIS POTOSI GLORIETA|BAJIO|SAN LUIS POTOSI URBANA
5774|SAN LUIS POTOSI LOMAS|BAJIO|SAN LUIS POTOSI URBANA
5803|HERMOSILLO VERACRUZ|REGIONAL NOROESTE|HERMOSILLO
5809|HERMOSILLO MORELOS|REGIONAL NOROESTE|HERMOSILLO
5811|HERMOSILLO PERINORTE|REGIONAL NOROESTE|HERMOSILLO
5813|HERMOSILLO MODULO FORD|REGIONAL NOROESTE|HERMOSILLO
5835|VILLAHERMOSA ATASTA|SURESTE|VILLAHERMOSA SUR
5837|VILLAHERMOSA LOPEZ MATEOS|SURESTE|VILLAHERMOSA NORTE
5841|VILLAHERMOSA CARRIZALES|SURESTE|VILLAHERMOSA NORTE
5853|PUERTO DOS BOCAS PEMEX|SURESTE|VILLAHERMOSA NORTE
5858|TAMPICO AVENIDA|NORESTE|TAMAULIPAS SUR
5864|TAMPICO UNIVERSIDAD|NORESTE|TAMAULIPAS SUR
5900|VERACRUZ PLAZA CRYSTAL|SUR|VERACRUZ
5909|JALAPA MERCADO|SUR|XALAPA
5916|XICO|SUR|XALAPA
5917|CORDOBA CAMPESTRE|SUR|XALAPA
5937|MERIDA PONIENTE|SURESTE|MERIDA PONIENTE
5953|ZACATECAS OFNA. PRINCIPAL|BAJIO|ZACATECAS
5983|TORREON ALAMEDA|NORESTE|LA LAGUNA
6502|TUXPAN JARDINES|SUR|TUXPAN
6540|TOLUCA PLAZA AMERICAS|METROPOLITANA NORTE|TOLUCA CENTRO
6541|NVO LAREDO MOD ADUANA NVO LAREDO PUENTE3|NORESTE|TAMAULIPAS NORTE
6542|TOLUCA HIDALGO|METROPOLITANA NORTE|TOLUCA CENTRO
6553|MEX. SAN FELIPE DEL PROGRESO|METROPOLITANA NORTE|TOLUCA NORTE
6579|CD. OBREGON VALLE|REGIONAL NOROESTE|SONORA SUR
6600|TIJUANA ADUANA|NOROESTE|TIJUANA PLAZA
6601|TIJUANA SAUCILLOS|NOROESTE|TIJUANA PLAZA
6607|ENSENADA JUAREZ|NOROESTE|TIJUANA ENSENADA
6612|CD. JUAREZ HERMANOS ESCOBAR|NOROESTE|JUAREZ
6615|CD. JUAREZ CAMPESTRE|NOROESTE|JUAREZ
6616|CD. JUAREZ NOGALES|NOROESTE|JUAREZ
6635|COATZACOALCOS PETROLERA|SUR|COATZACOALCOS
6653|LEON SAN MIGUEL|BAJIO|LEON NORTE
6681|CD. REYNOSA CENTRO|NORESTE|TAMAULIPAS NORTE
6703|COMITAN BOULEVARD|SURESTE|TAPACHULA
6724|ZAMORA 5 DE MAYO|REGIONAL OCCIDENTE|ZAMORA
6781|CULIACAN CC SORIANA|REGIONAL NOROESTE|CULIACAN
6784|CULIACAN PLAZA IBIZA|REGIONAL NOROESTE|CULIACAN
6785|CULIACAN DR. MORA|REGIONAL NOROESTE|CULIACAN
6833|TENANGO DEL VALLE|METROPOLITANA NORTE|TOLUCA SUR
6861|IXTACZOQUITLAN|SUR|XALAPA
0340|Yuridia Hidalgo|BAJIO|IRAPUATO
0456|CAPILLA DE GUADALUPE|REGIONAL OCCIDENTE|TEPATITLAN
0458|UNION DE SAN ANTONIO|REGIONAL OCCIDENTE|TEPATITLAN
0491|JALOSTOTITLAN|REGIONAL OCCIDENTE|TEPATITLAN
0625|San Quintin|Noroeste|TIJUANA ENSENADA
0885|SITE AEROPUERTO|METRO SUR|VENUSTIANO CARRANZA
0923|SITE LOMAS ESTRELLA|METRO SUR|
0924|SITE TLÁHUAC|METRO SUR|
0937|PESQUERIA NUEVO LEON|NORESTE|MONTERREY SAN NICOLAS
0942|SITE MIGUEL ANGEL DE QUEVEDO|METRO SUR|INSURGENTES
1065|Ajijic|REGIONAL OCCIDENTE|OCOTLAN
1099|MASCOTA|REGIONAL OCCIDENTE|PUERTO VALLARTA
1202|AUTLAN|REGIONAL OCCIDENTE|AMECA
1230|TEPALCATEPEC ALTAMIRANO|REGIONAL OCCIDENTE|URUAPAN
1232|TANGANCICUARO|REGIONAL OCCIDENTE|ZAMORA
1239|YURECUARO GUERRERO|REGIONAL OCCIDENTE|LA PIEDAD
1242|COTIJA|REGIONAL OCCIDENTE|ZAMORA
1244|SAN JOSÉ DE GRACIA|REGIONAL OCCIDENTE|ZAMORA
1246|DEGOLLADO|REGIONAL OCCIDENTE|OCOTLAN
1249|Acatlán|REGIONAL OCCIDENTE|AMECA
1615|SITE BODEGA AURRERÁ CABEZA DE JUÁREZ|METRO SUR|
3762|SITE UNIVERSIDAD|METRO SUR|COYOACAN
3989|CD. Morelos Ofna Principal|Noroeste|MEXICALI
3994|Luis B. Sanchez Ofna Principal|Noroeste|MEXICALI
4140|CRUZ AZUL|BAJIO|PACHUCA NORTE
4195|VILLA HIDALGO|REGIONAL OCCIDENTE|TEPATITLAN
4431|EMILIANO ZAPATA CENTRO|SURESTE|VILLAHERMOSA SUR
4656|PEMEX CADEREYTA|NORESTE|GUADALUPE
5189|TOTOTLAN|REGIONAL OCCIDENTE|OCOTLAN
5214|DIAZ ORDAZ|REGIONAL OCCIDENTE|TEPATITLAN
5289|SAN JULIAN|REGIONAL OCCIDENTE|TEPATITLAN
5363|SABINAS OFNA. PRINCIPAL|NORESTE|COAHUILA NORTE
5598|MIXQUIHUALA|BAJIO|PACHUCA NORTE
5600|Pachuca Tasquillo|BAJIO|PACHUCA NORTE
5639|HUETAMO|REGIONAL OCCIDENTE|URUAPAN
5663|TUXPAN NAYARIT|REGIONAL OCCIDENTE|NAYARIT
5678|LA PEÑITA|REGIONAL OCCIDENTE|PUERTO VALLARTA
5702|Asunción Nochixtlán|Sur|OAXACA
5750|CADEREYTA CENTRO|BAJIO|QUERETARO ORIENTE
5787|Ciudad del Maíz Centro|BAJIO|SAN LUIS POTOSI FORANEA
5789|CERRITOS CENTRO|BAJIO|SAN LUIS POTOSI FORANEA
5968|OJOCALIENTE CENTRO|BAJIO|ZACATECAS
5972|TEUL DE GONZALEZ|BAJIO|ZACATECAS
6532|EBANO|BAJIO|SAN LUIS POTOSI FORANEA
6610|Maneadero|Noroeste|TIJUANA ENSENADA
6689|CD. RIO BRAVO|NORESTE|TAMAULIPAS NORTE
6695|CD. VALLE HERMOSO|NORESTE|TAMAULIPAS NORTE
6752|Panindicuaro Ocampo|REGIONAL OCCIDENTE|LA PIEDAD
0004|NAUCALPAN PERIFERICO|Metro Norte|Interlomas 2
0006|POLANCO CASTELAR|Metro Norte|Polanco 3
0025|CÁMARA DE DIPUTADOS|METROPOLITANA SUR|CENTRO
0035|ARQUITECTOS SATELITE|Metro Norte|Satelite 2
0053|CUAUTITLAN GLORIETA|Metro Norte|Cuautitlan 1
0056|PAFNUNCIO PADILLA|Metro Norte|Satelite 1
0065|MERCED CRUCES|METROPOLITANA SUR|CENTRO
0067|REFORMA REVOLUCION|Metro Norte|Reforma 3
0070|D.F. HOTEL DE MEXICO|METROPOLITANA SUR|DEL VALLE
0114|PABELLON METEPEC|Metro Norte|Toluca Sur 1
0134|LAS ARMAS|Metro Norte|Azcapotzalco 2
0205|MONTERREY GONZALITOS|NORESTE|MONTERREY NORTE
0209|MONTERREY FELIX U. GOMEZ|NORESTE|MONTERREY NORTE
0220|MONTERREY PINO SUAREZ|NORESTE|MONTERREY NORTE
0223|MONTERREY TEC|NORESTE|MONTERREY SUR
0231|D.F. CABEZA DE JUAREZ|METROPOLITANA SUR|ORIENTE
0247|VALLE VERDE|Metro Norte|Satelite 2
0256|SAN NICOLAS SANTO DOMINGO|NORESTE|MONTERREY SAN NICOLAS
0262|SALTILLO CENTRO|NORESTE|SALTILLO
0281|GOMEZ PALACIO ROSAS|NORESTE|LA LAGUNA
0295|CD. JUAREZ ZONA DORADA|NOROESTE|JUAREZ
0335|SAN LUIS POTOSI ABASTOS|BAJIO|SAN LUIS POTOSI URBANAS
0351|JUAREZ CENTRO|NOROESTE|JUAREZ
0392|DELICIAS MORIN|NOROESTE|CHIHUAHUA FORANEAS
0417|RIO ATOTONILCO|OCCIDENTE|GUADALAJARA INDUSTRIAL
0418|TONALA ZARAGOZA|OCCIDENTE|GUADALAJARA TLAQUEPAQUE
0423|AMERICAS NERUDA|OCCIDENTE|GUADALAJARA ZAPOPAN
0427|ATEMAJAC|OCCIDENTE|GUADALAJARA CENTRO
0434|PLAZA MÉXICO|OCCIDENTE|GUADALAJARA VALLARTA
0437|SANTA ANITA RAMON CORONA|OCCIDENTE|GUADALAJARA DEL SOL
0505|PUEBLA ESMERALDA|SUR|PUEBLA NORTE
0520|PUEBLA SAN MANUEL|SUR|PUEBLA CENTRO
0551|COATZACOALCOS ZARAGOZA|SUR|COATZACOALCOS
0570|CUERNAVACA CUAUHTEMOC|SUR|MORELOS NORTE
0583|ACAPULCO COSTA AZUL|SUR|ACAPULCO
0596|ZAPOPAN PLAZA SUR|OCCIDENTE|GUADALAJARA DEL SOL
0601|TIJUANA LA MESA|NOROESTE|TIJUANA PLAZA
0602|TIJUANA CECUT|NOROESTE|TIJUANA ENSENADA
0614|TIJUANA PLAYAS PEDREGAL|NOROESTE|TIJUANA ENSENADA
0621|LA PAZ MALECON|REGIONAL NOROESTE|BAJA CALIFORNIA SUR
0629|PLAN DE SAN LUIS|OCCIDENTE|GUADALAJARA CENTRO
0651|HERMOSILLO PITIC|REGIONAL NOROESTE|HERMOSILLO
0670|JUSTO SIERRA MEXICALI|NOROESTE|MEXICALI
0726|PLAZA LAS TIENDAS CANCUN|SURESTE|CANCUN
0733|WALMART MOCHIS|REGIONAL NOROESTE|SINALOA NORTE
0743|MIRAMAR|NORESTE|TAMAULIPAS SUR
0762|TERMINAL MARÍTIMA|NORESTE|TAMAULIPAS SUR
0771|MERIDA CAUCEL|SURESTE|MERIDA PONIENTE
0777|OJUELOS|Metro Norte|Toluca Norte 2
0791|VILLA IZCALLI|REGIONAL OCCIDENTE|COLIMA
0792|MODULO NISSAN|BAJIO|AGUASCALIENTES
0797|SIERRA MADRE|NOROESTE|CHIHUAHUA FORANEAS
0854|COZUMEL CENTRO|SURESTE|CANCUN
0870|NUEVO LAREDO SORIANA LA FE|NORESTE|TAMAULIPAS NORTE
0880|TRES CULTURAS|NOROESTE|CHIHUAHUA FORANEAS
0884|SITE CUITLAHUAC|Metro Norte|Azcapotzalco 1
0889|FELIX RAMIREZ|REGIONAL OCCIDENTE|TEPATITLAN
0965|MODULO ADUANAL BC|REGIONAL NOROESTE|BAJA CALIFORNIA SUR
1016|LA PIEDAD GALERIAS DEL RIO|REGIONAL OCCIDENTE|LA PIEDAD
1070|GUADALAJARA LOMAS DE POLANCO|OCCIDENTE|GUADALAJARA INDUSTRIAL
1075|PLAZA LOMAS RIO NILO|OCCIDENTE|GUADALAJARA TLAQUEPAQUE
1102|AVIACION|OCCIDENTE|GUADALAJARA ZAPOPAN
1170|CUAUHTEMOC PLAZA MAGNOLIA|NOROESTE|CHIHUAHUA FORANEAS
1174|PLAZA CALZADA SAN PEDRO|NORESTE|MONTERREY VALLE
1218|MERCADO DE ABASTOS|REGIONAL OCCIDENTE|MORELIA ORIENTE
1221|MERCADO INDEPENDENCIA|REGIONAL OCCIDENTE|MORELIA PONIENTE
1283|D.F. TLALPAN|METROPOLITANA SUR|COAPA
1288|D.F. CENTRAL DE ABASTOS I|METROPOLITANA SUR|IZTAPALAPA
1295|MODULO INSTITUTO MEXICANO DEL PETROLEO|Metro Norte|Vallejo
