CR|Sucursal|División|Zona
0435|COOPERNICO|OCCIDENTE|GUADALAJARA DEL SOL
0440|MAZATLAN OLAS ALTAS|REGIONAL NOROESTE|SINALOA SUR
0441|MAZATLAN SABALO|REGIONAL NOROESTE|SINALOA SUR
0442|GUADALAJARA INDUSTRIAL|OCCIDENTE|GUADALAJARA INDUSTRIAL
0444|GUADALAJARA ALAMO INDUSTRIAL|OCCIDENTE|GUADALAJARA TLAQUEPAQUE
0447|MANZANILLO SANTIAGO SALAHUA|REGIONAL OCCIDENTE|COLIMA
0448|CD. GUZMAN CENTRO|REGIONAL OCCIDENTE|COLIMA
0452|VILLAS|REGIONAL OCCIDENTE|PUERTO VALLARTA
0453|PRINCIPAL PUERTO VALLARTA|REGIONAL OCCIDENTE|PUERTO VALLARTA
0460|AGUASCALIENTES AMERICAS|BAJIO|AGUASCALIENTES
0461|AGUASCALIENTES PULGAS PANDAS|BAJIO|AGUASCALIENTES
0465|QUERETARO ZARAGOZA|BAJIO|QUERETARO PONIENTE
0470|SAN LUIS POTOSI AVENIDA|BAJIO|SAN LUIS POTOSI URBANA
0474|LEON BOULEVARD|BAJIO|LEON SUR
0475|LEON PARQUE HIDALGO|BAJIO|LEON SUR
0478|INDEPENDENCIA|OCCIDENTE|GUADALAJARA ORIENTE
0481|LOS MOCHIS HIDALGO|REGIONAL NOROESTE|SINALOA NORTE
0483|AGUASCALIENTES QUIJOTE|BAJIO|AGUASCALIENTES
0485|SAN JUAN DEL RIO ZONA INDUSTRIAL|BAJIO|QUERETARO ORIENTE
0498|SAN LUIS POTOSI HIMNO NACIONAL|BAJIO|SAN LUIS POTOSI URBANA
0507|PUEBLA 43 ORIENTE|SUR|PUEBLA SUR
0512|PUEBLA FUERTES|SUR|PUEBLA CENTRO
0518|VERACRUZ MERCADO|SUR|VERACRUZ
0525|ATLIXCO CENTRO|SUR|PUEBLA SUR
0547|SAN CRISTOBAL CENTRO|SURESTE|TUXTLA
0561|TOLUCA COLON|METROPOLITANA NORTE|TOLUCA CENTRO
0564|TUXTLA LA FUENTE|SURESTE|TUXTLA
0572|CUERNAVACA ZAPATA|SUR|MORELOS NORTE
0575|CUERNAVACA LOMAS|SUR|MORELOS NORTE
0577|MINATITLAN JUSTO SIERRA|SUR|COATZACOALCOS
0584|ACAPULCO FLAMBOYANT|SUR|ACAPULCO
0586|COATZACOALCOS LAS PALMAS|SUR|COATZACOALCOS
0593|VERACRUZ SIMON BOLIVAR|SUR|VERACRUZ
0604|TIJUANA PLAZA CASTRO|NOROESTE|TIJUANA PLAZA
0613|TIJUANA CIMARRON|NOROESTE|TIJUANA PLAZA
0620|LOS CABOS ZARAGOZA|REGIONAL NOROESTE|BAJA CALIFORNIA SUR
0631|MEXICALI BOULEVARES|NOROESTE|MEXICALI
0634|ENSENADA BLANCARTE|NOROESTE|TIJUANA ENSENADA
