ATM|FALLA|CAUSA|FECHA_INICIO|HORA_INICIO|FRACCION_HRS_F|HRS_FUERA|FAULTID|VENTANA
7854|Contingencia|Sin atencion por contingencia|2020-03-31|10:22:43|0.466|201|2364|Contingencia
7925|Fallas Otras causas|Error en aceptador de billetes 215|2020-04-08|19:04:02|0.766|1|215|Recuperacion Manual
7957|Contingencia|Sin atencion por contingencia|2020-04-08|18:15:54|0.583|2|2364|Contingencia
8016|Contingencia|Sin atencion por contingencia|2020-04-03|19:19:49|0.516|120|2364|Contingencia
8099|Contingencia|Sin atencion por contingencia|2020-03-30|11:43:24|0.116|224|2364|Contingencia
8102|Contingencia|Sin atencion por contingencia|2020-03-30|11:43:05|0.116|224|2364|Contingencia
8269|Contingencia|Sin atencion por contingencia|2020-04-01|23:38:01|0.199|164|2364|Contingencia
8315|Contingencia|Sin atencion por contingencia|2020-03-19|12:59:55|0.85|486|2364|Contingencia
8326|Contingencia|Sin atencion por contingencia|2020-03-31|15:00:00|0.833|196|2364|Contingencia
8484|Fallas Otras causas|Sin efectivo|2020-04-08|20:43:01|0.116|0|1063106300009|Sin Efectivo
8520|Contingencia|Sin atencion por contingencia|2020-04-01|18:05:38|0.75|169|2364|Contingencia
8553|Contingencia|Sin atencion por contingencia|2020-04-08|17:15:12|0.583|3|2364|Contingencia
8562|Fallas por Aplicativo|Fuera de sesion (atn mto tec)|2020-04-08|17:23:02|0.45|3|21|Mantenimiento Tecnico
8579|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|19:00:56|0.833|1|216|Mantenimiento Tecnico
8608|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|17:51:59|0.983|2|216|Mantenimiento Tecnico
8610|Contingencia|Sin atencion por contingencia|2020-04-08|18:11:59|0.649|2|2364|Contingencia
8641|Fallas Otras causas|Sin efectivo|2020-04-08|20:16:05|0.566|0|1063106300009|Sin Efectivo
8695|Contingencia|Sin atencion por contingencia|2020-04-07|19:57:20|0.883|24|2364|Contingencia
8748|Contingencia|Sin atencion por contingencia|2020-04-06|20:32:58|0.299|48|2364|Contingencia
8786|Contingencia|Sin atencion por contingencia|2020-04-07|17:46:31|0.066|27|2364|Contingencia
8977|Contingencia|Sin atencion por contingencia|2020-03-26|13:49:10|0.016|318|2364|Contingencia
8978|Contingencia|Sin atencion por contingencia|2020-03-25|19:22:41|0.466|336|2364|Contingencia
8983|Contingencia|Sin atencion por contingencia|2020-04-02|00:00:00|0.833|163|2364|Contingencia
9018|Contingencia|Sin atencion por contingencia|2020-04-07|15:58:29|0.866|28|2364|Contingencia
9115|Fallas Otras causas|Error en aceptador de billetes 215|2020-04-08|19:06:01|0.733|1|215|Recuperacion Manual
9119|Contingencia|Sin atencion por contingencia|2020-03-28|09:42:41|0.133|274|2364|Contingencia
9122|Contingencia|Sin atencion por contingencia|2020-03-28|09:43:08|0.116|274|2364|Contingencia
9156|Contingencia|Sin atencion por contingencia|2020-03-30|09:02:43|0.8|226|2364|Contingencia
9206|Contingencia|Sin atencion por contingencia|2020-04-07|13:24:31|0.433|31|2364|Contingencia
9279|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|17:52:21|0.966|2|216|Mantenimiento Tecnico
9282|Contingencia|Sin atencion por contingencia|2020-03-20|15:58:32|0.866|459|2364|Contingencia
9308|Contingencia|Sin atencion por contingencia|2020-04-06|14:10:00|0.666|54|2364|Contingencia
9380|Contingencia|Sin atencion por contingencia|2020-04-08|16:58:16|0.866|3|2364|Contingencia
9384|Contingencia|Sin atencion por contingencia|2020-04-06|12:12:29|0.633|56|2364|Contingencia
9397|Fallas Lectora|"Falla lectora ""posible tarjeta atorada"""|2020-04-08|18:58:01|0.866|1|205|Recuperacion Manual
9412|Fallas Otras causas|Falla en teclados / TFS|2020-04-07|16:25:27|0.416|28|208|Mantenimiento Tecnico
9464|Contingencia|Sin atencion por contingencia|2020-03-31|13:11:02|0.65|198|2364|Contingencia
9469|Contingencia|Sin atencion por contingencia|2020-04-02|22:56:02|0.9|140|2364|Contingencia
9507|Fallas Dispensador|E114 Presentador con falla / TFS|2020-04-08|16:40:06|0.166|4|202|Mantenimiento Tecnico
9536|Contingencia|Sin atencion por contingencia|2020-03-17|15:06:36|0.733|532|2364|Contingencia
9602|Contingencia|Sin atencion por contingencia|2020-03-25|17:39:04|0.183|338|2364|Contingencia
9635|Contingencia|Sin atencion por contingencia|2020-04-06|13:48:00|0.033|55|2364|Contingencia
9667|Contingencia|Sin atencion por contingencia|2020-04-07|20:50:31|0|24|2364|Contingencia
9753|Contingencia|Sin atencion por contingencia|2020-04-01|20:06:12|0.733|167|2364|Contingencia
9759|Contingencia|Sin atencion por contingencia|2020-04-02|10:38:38|0.199|153|2364|Contingencia
9761|Contingencia|Sin atencion por contingencia|2020-04-08|08:48:48|0.033|12|2364|Contingencia
9764|Fallas por Aplicativo|Fuera de sesion (atn mto tec)|2020-04-08|09:15:26|0.583|11|21|Mantenimiento Tecnico
9891|Contingencia|Sin atencion por contingencia|2020-04-07|22:02:01|0.8|22|2364|Contingencia
