ATM|FALLA|CAUSA|FECHA_INICIO|HORA_INICIO|FRACCION_HRS_F|HRS_FUERA|FAULTID|VENTANA
2820|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|18:17:19|0.549|2|216|Mantenimiento Tecnico
2835|Fallas por Aplicativo|Fuera de sesion (atn mto tec)|2020-04-08|15:14:11|0.599|5|21|Mantenimiento Tecnico
2876|Contingencia|Sin atencion por contingencia|2020-04-06|15:52:07|0.966|52|2364|Contingencia
2909|Contingencia|Sin atencion por contingencia|2020-03-30|10:30:07|0.333|225|2364|Contingencia
2956|Contingencia|Sin atencion por contingencia|2020-03-27|12:54:02|0.933|294|2364|Contingencia
3014|Fallas Otras causas|Error en aceptador de billetes 215|2020-04-08|20:43:01|0.116|0|215|Recuperacion Manual
3080|Fallas Aceptador|Error grave en aceptador de billetes|2020-04-08|19:12:01|0.633|1|216|Mantenimiento Tecnico
3320|Fallas por Aplicativo|Fuera de sesion (atn mto tec)|2020-04-08|16:10:00|0.666|4|21|Mantenimiento Tecnico
3370|Fallas Otras causas|Fuera de Sesion RA1|2020-04-08|13:38:00|0.15|0|34|Fuera de Sesion
3459|Contingencia|Sin atencion por contingencia|2020-04-02|10:41:47|0.15|153|2364|Contingencia
3476|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|13:14:58|0.599|7|216|Mantenimiento Tecnico
3493|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|14:03:38|0.783|6|216|Mantenimiento Tecnico
3505|Fallas por Aplicativo|Fuera de sesion (atn mto tec)|2020-04-08|19:35:29|0.25|1|21|Mantenimiento Tecnico
3538|Fallas Otras causas|Error en aceptador de billetes 215|2020-04-08|19:35:01|0.25|1|215|Recuperacion Manual
3546|Contingencia|Sin atencion por contingencia|2020-04-07|08:25:22|0.416|36|2364|Contingencia
3548|Contingencia|Sin atencion por contingencia|2020-04-05|22:57:02|0.883|69|2364|Contingencia
3594|Contingencia|Sin atencion por contingencia|2020-04-01|10:33:57|0.283|177|2364|Contingencia
3596|Contingencia|Sin atencion por contingencia|2020-04-01|10:33:20|0.283|177|2364|Contingencia
3715|Contingencia|Sin atencion por contingencia|2020-03-17|15:13:12|0.616|532|2364|Contingencia
3733|Contingencia|Sin atencion por contingencia|2020-04-07|05:50:00|0|39|2364|Contingencia
3775|Contingencia|Sin atencion por contingencia|2020-04-07|11:21:26|0.483|33|2364|Contingencia
3789|Fallas por Aplicativo|Fuera de sesion (atn mto tec)|2020-04-08|17:53:23|0.95|2|21|Mantenimiento Tecnico
4014|Contingencia|Sin atencion por contingencia|2020-03-30|19:28:06|0.366|216|2364|Contingencia
4031|Contingencia|Sin atencion por contingencia|2020-04-08|20:25:21|0.416|0|2364|Contingencia
4089|Contingencia|Sin atencion por contingencia|2020-04-02|20:38:02|0.199|143|2364|Contingencia
4138|Contingencia|Sin atencion por contingencia|2020-04-01|08:01:03|0.816|179|2364|Contingencia
4139|Contingencia|Sin atencion por contingencia|2020-04-08|19:34:03|0.266|1|2364|Contingencia
4163|Contingencia|Sin atencion por contingencia|2020-04-08|18:13:03|0.616|2|2364|Contingencia
4195|Contingencia|Sin atencion por contingencia|2020-04-06|18:19:14|0.516|50|2364|Contingencia
4232|Contingencia|Sin atencion por contingencia|2020-03-26|20:52:03|0.966|310|2364|Contingencia
4237|Fallas Otras causas|Error en aceptador de billetes 215|2020-04-08|18:04:02|0.766|2|215|Recuperacion Manual
4279|Fallas Otras causas|Error en aceptador de billetes 215|2020-04-08|20:44:02|0.1|0|215|Recuperacion Manual
4293|Fallas Otras causas|Fuera de Sesion RA1|2020-04-08|13:46:00|0.016|0|34|Fuera de Sesion
4381|Fallas Otras causas|Perdida de energia electrica en CR|2020-04-08|12:59:02|0.8|0|197|Falla por pérdida de energía
4395|Contingencia|Sin atencion por contingencia|2020-04-02|16:39:00|0.183|147|2364|Contingencia
4445|Contingencia|Sin atencion por contingencia|2020-04-01|17:55:09|0.916|169|2364|Contingencia
4567|Contingencia|Sin atencion por contingencia|2020-03-25|09:48:41|0.033|346|2364|Contingencia
4609|Contingencia|Sin atencion por contingencia|2020-03-27|17:46:06|0.066|290|2364|Contingencia
4678|Contingencia|Sin atencion por contingencia|2020-03-30|09:04:10|0.766|226|2364|Contingencia
4691|Contingencia|Sin atencion por contingencia|2020-04-06|09:00:13|0.833|59|2364|Contingencia
4765|Contingencia|Sin atencion por contingencia|2020-04-07|08:54:09|0.933|35|2364|Contingencia
4769|Fallas Lectora|Posible tarjeta atorado en lectora d114|2020-04-08|17:54:01|0.933|2|205|Recuperacion Manual
4818|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|10:01:12|0.816|10|216|Mantenimiento Tecnico
4878|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|13:49:59|0.016|7|216|Mantenimiento Tecnico
4902|Contingencia|Sin atencion por contingencia|2020-03-30|11:50:58|0|224|2364|Contingencia
4907|Contingencia|Sin atencion por contingencia|2020-04-08|09:35:19|0.25|11|2364|Contingencia
4916|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|15:35:10|0.25|5|216|Mantenimiento Tecnico
4927|Contingencia|Sin atencion por contingencia|2020-04-08|09:49:03|0.016|11|2364|Contingencia
4965|Contingencia|Sin atencion por contingencia|2020-04-03|22:00:03|0.833|117|2364|Contingencia
4975|Contingencia|Sin atencion por contingencia|2020-04-06|13:41:42|0.149|55|2364|Contingencia
4988|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-08|11:17:33|0.55|9|216|Mantenimiento Tecnico
5054|Contingencia|Sin atencion por contingencia|2020-03-30|11:43:54|0.116|224|2364|Contingencia
5069|Contingencia|Sin atencion por contingencia|2020-04-07|15:06:52|0.733|29|2364|Contingencia
5129|Contingencia|Sin atencion por contingencia|2020-03-31|20:27:02|0.383|191|2364|Contingencia
5331|Contingencia|Sin atencion por contingencia|2020-04-07|15:15:04|0.583|29|2364|Contingencia
5356|Contingencia|Sin atencion por contingencia|2020-04-07|19:56:40|0.899|24|2364|Contingencia
5362|Fallas Dispensador|Atasco de billete en el transporte del presentador o falla en el sensor de transporte|2020-04-08|18:58:01|0.866|1|201|Recuperacion Manual
5411|Fallas Otras causas|Error en aceptador de billetes 216|2020-04-07|17:15:14|0.583|27|216|Mantenimiento Tecnico
5458|Contingencia|Sin atencion por contingencia|2020-04-03|10:12:30|0.633|129|2364|Contingencia
5486|Contingencia|Sin atencion por contingencia|2020-04-07|10:19:08|0.516|34|2364|Contingencia
5599|Contingencia|Sin atencion por contingencia|2020-03-30|15:39:15|0.183|220|2364|Contingencia
