SK|ATM|Marca|Modelo|Tipo_dispositivo|Tipo_monitor|Estatus_dispositivo|Sistema_Operativo|Denominacion_caseteros|Biometrico|Geolocaliza
23536|0002|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.388584  -99.2479053
40655|0004|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|29.0880920999999  -110.957578
50302|0005|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.5203228  -100.823190399999
66062|0006|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|21.3413519  -97.6819429999999
70302|0007|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.5203228  -100.823190399999
85282|0008|HARD|DESCENDIO84|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.3838245  -99.0685270999999
90302|0009|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.5203228  -100.823190399999
106062|0010|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.4601172  -99.1748711999999
116062|0011|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|32.5318  -116.0826429
126062|0012|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|19.4479406  -99.1808452999999
130302|0013|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.5203228  -100.823190399999
140655|0014|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|29.0880920999999  -110.957578
150017|0015|DUTY|NINBUS 2000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|NO INSTALADO|19.433503  -99.1862378999999
166062|0016|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.3986774  -99.1674760999999
170306|0017|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.017507  -101.255508099999
180050|0018|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.2917326  -99.124906
196062|0019|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|INSTALADO|23.732404  -99.1439387
204634|0020|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.467957  -99.1449667
213651|0021|DUTY|NINBUS 800|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.4701693  -99.1317148
226062|0022|STRONG|QUIDDITCH 6000|EFECTIBANCO|BOTONES|LABORATORIO|UNIX|||19.4413488  -99.1837845999999
236062|0023|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.3782188  -99.2772888
240306|0024|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.017507  -101.255508099999
250306|0025|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.017507  -101.255508099999
260460|0026|HARD|NOX|EFECTIBANCO|BOTONES|BAJA DEF|UNIX|||21.8665245  -102.3025035
274634|0027|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.467957  -99.1449667
285720|0028|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 200 500|NO INSTALADO|20.0275836  -96.6469210999999
290330|0029|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|23.6539806  -100.623987699999
300330|0030|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|23.6539806  -100.623987699999
310881|0031|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|23.2342114  -106.423180399999
320881|0032|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|23.2342114  -106.423180399999
330316|0033|DUTY|NINFUS 1000|EFECTIBANCO|VALIDANDO|BAJA DEF|WINDOWS 10|100 100 200 500|NO INSTALADO|19.693963  -101.179322299999
345943|0034|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.9650211  -89.6213697
356062|0035|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|18.4285028  -97.4083958
365692|0036|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|16.4341995  -95.0219309
370316|0037|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 100 200 500|NO INSTALADO|19.693963  -101.179322299999
381102|0038|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.7238391  -103.455258099999
390351|0039|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|31.7425671  -106.4854467
401102|0040|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.7238391  -103.455258099999
413850|0041|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|27.4613212  -99.5112070999999
426062|0042|DUTY|STUPIFY|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|32.5098133  -116.9750827
433850|0043|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|27.4613212  -99.5112070999999
446062|0044|HARD|DESCENDIO23|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|18.0008394  -94.6075948
450351|0045|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|31.7425671  -106.4854467
461169|0046|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.380356  -99.1411183999999
476062|0047|DUTY|STUPIFY|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.8620639  -99.2877930999999
485638|0048|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|20.3025555  -101.5969364
496062|0049|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.5594846  -103.3647756
506062|0050|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|17.9944819  -94.5321473
516062|0051|STRONG|LEVIOSA 522|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.0530764  -99.2297014999999
526062|0052|DUTY|STUPIFYN|EFECTIBANCO|VALIDANDO|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|19.2809598  -98.9428428
530351|0053|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|31.7425671  -106.4854467
546062|0054|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.1976815  -99.1478844
556062|0055|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|NO INSTALADO|19.2958236  -99.1459565
560351|0056|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|31.7425671  -106.4854467
576062|0057|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.2894475  -99.1378972999999
585928|0058|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.7665543  -97.2454267
596062|0059|DUTY|STUPIFYN|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.4278241  -99.2104603
600351|0060|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|31.7425671  -106.4854467
610498|0061|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|22.1461163  -101.0081035
626062|0062|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.6278643  -87.0818514999999
636062|0063|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.3779401  -99.1482732
646062|0064|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|31.6578102  -106.359808499999
655692|0065|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|16.4341995  -95.0219309
660498|0066|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|22.1461163  -101.0081035
673850|0067|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|27.4613212  -99.5112070999999
684615|0068|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|17.9745616  -92.9274171
696062|0069|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|18.820017  -99.19054
701032|0070|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.6737704  -103.383008
710128|0071|DUTY|NINBUS 2000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|NO INSTALADO|19.5632078  -99.248082
720475|0072|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 200 500 500|INSTALADO BBVA|21.1322126  -101.6879933
733889|0073|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.7098455  -103.360720599999
746062|0074|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.313034  -98.8970798
755692|0075|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|16.4341995  -95.0219309
760016|0076|DUTY|NINFUS 1000|EFECTIBANCO|TACTIL|BAJA DEF|WINDOWS 10|100 200 200 500|NO INSTALADO|19.4429258  -99.1337252
773889|0077|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.7098455  -103.360720599999
786062|0078|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|NO INSTALADO|19.39549  -99.17219
794472|0079|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|25.6644021  -100.383577899999
805196|0080|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 200 500 500|INSTALADO BBVA|21.1308503  -101.7053394
814472|0081|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|25.6644021  -100.383577899999
826062|0082|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|21.5007956  -104.897732099999
835007|0083|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|14.8924772  -92.2721662999999
840541|0084|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|17.9506365  -94.9009059999999
855567|0085|DUTY|STUPIFYN|EFECTIBANCO|TACTIL|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|17.5373432  -101.2751534
860541|0086|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|17.9506365  -94.9009059999999
870541|0087|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|17.9506365  -94.9009059999999
885007|0088|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|14.8924772  -92.2721662999999
895460|0089|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.2466361  -102.3351788
903048|0090|DUTY|STUPIFY|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.4251617  -99.1704413
915692|0091|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|16.4341995  -95.0219309
923048|0092|DUTY|STUPIFY|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.4251617  -99.1704413
930541|0093|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|17.9506365  -94.9009059999999
940595|0094|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.3509613  -102.7732037
955197|0095|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 200 500 500|INSTALADO BBVA|21.1043724  -101.659648399999
964615|0096|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|17.9745616  -92.9274171
975007|0097|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|14.8924772  -92.2721662999999
985008|0098|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.0937178  -98.3638634999999
995008|0099|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.0937178  -98.3638634999999
1001169|0100|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.380356  -99.1411183999999
1010595|0101|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.350904  -102.773002
1026062|0102|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|NO INSTALADO|18.3716458  -95.7484341
1030069|0103|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|INSTALADO BBVA|19.4260043  -99.1711093
1045692|0104|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|16.4341995  -95.0219309
1050595|0105|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.3509613  -102.7732037
1066062|0106|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.5039734  -100.146886199999
1074615|0107|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|17.9745616  -92.9274171
1083522|0108|DUTY|STUPIFYN|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.3600234  -99.3518958999999
1095318|0109|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|26.0127875  -111.3431804
1106062|0110|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.3528129  -99.1861412999999
1116062|0111|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|NO INSTALADO|19.59821  -99.0502415999999
1120080|0112|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|INSTALADO BBVA|19.4382295  -99.1901215
1130103|0113|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|INSTALADO BBVA|19.5394665  -99.2091598999999
1145228|0114|STRONG|LEVIOSA 522|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.1404135  -101.6555361
1150069|0115|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|INSTALADO BBVA|19.4260043  -99.1711093
1165228|0116|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.1404135  -101.6555361
1170370|0117|BIG|NIMBUS 200|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.377987  -101.064855599999
1186062|0118|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|18.8574323  -97.0661413
1190128|0119|DUTY|NINBUS 2000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|NO INSTALADO|19.5632078  -99.248082
1203048|0120|DUTY|STUPIFY|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|50 100 200 500|NO INSTALADO|19.4251617  -99.1704413
1216062|0121|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.9003161  -101.388956
1220184|0122|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.5507228  -99.2096358999999
1230595|0123|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.3509613  -102.7732037
1246062|0124|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|32.6429938  -115.451125199999
1253048|0125|HARD|DESCENDIO84|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.4251617  -99.1704413
1263048|0126|HARD|DESCENDIO84|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.4251617  -99.1704413
1276062|0127|DUTY|STUPIFYN|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|28.692929  -100.5470163
1280598|0128|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|18.4473833  -95.2131905999999
1290078|0129|DUTY|STUPIFY|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.3632368  -99.1820748
1306519|0130|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|21.351509  -98.2241816
1310073|0131|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.349925  -99.073524
1320079|0132|DUTY|NINFUS 1000|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.3943047  -99.122831
1333048|0133|HARD|DESCENDIO84|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.4251617  -99.1704413
1343645|0134|DUTY|NINBUS 800|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.4410862  -99.0929879
1353454|0135|DUTY|NINFUS 1000|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.3728764  -99.1406428
1363454|0136|DUTY|NINFUS 1000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.3728764  -99.1406428
1370598|0137|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|18.4473833  -95.2131905999999
1380598|0138|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|18.4473833  -95.2131905999999
1393439|0139|DUTY|NINFUS 1000|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.4295913  -99.1534421
1406062|0140|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|27.4909023  -109.967619799999
1415197|0141|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO BBVA|21.113107  -101.65491
1420067|0142|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO BBVA|19.4331397  -99.1557485
1436062|0143|DUTY|NINFUS 1000|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|25.6555857  -100.1261885
1440067|0144|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|INSTALADO BBVA|19.4331397  -99.1557485
1456062|0145|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.4230537  -99.0860283999999
1466062|0146|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|INSTALADO|19.8217807  -98.9722583999999
1470370|0147|BIG|NIMBUS 200|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.377987  -101.064855599999
1486062|0148|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.4381205  -99.0794546999999
1496519|0149|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.351509  -98.2241816
1506062|0150|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.4381205  -99.0794546999999
1516062|0151|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.269496  -99.597548
1526062|0152|DUTY|STUPIFYN|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.6821714  -101.1796091
1536062|0153|DUTY|NINFUS 1000|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|32.4192935  -115.191851499999
1543439|0154|DUTY|NINBUS 800|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.4295913  -99.1534421
1556062|0155|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.3860971  -99.2557051
1566062|0156|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.4381205  -99.0794546999999
1575711|0157|DUTY|NINFUS 1000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.8170383  -97.3607612999999
1586062|0158|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.4381205  -99.0794546999999
1593553|0159|DUTY|NINFUS 1000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.3054739  -99.2355293
1606062|0160|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|25.6862493  -100.323171399999
1610048|0161|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 200 200 500|INSTALADO BBVA|19.405159  -99.239452
1625008|0162|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.0937178  -98.3638634999999
1636062|0163|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.9609398  -89.658632
1644634|0164|HARD|DESCENDIO84|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.467957  -99.1449667
1656730|0165|DUTY|NINFUS 1000|EFECTIBANCO||BAJA DEF|UNIX|||20.3424036  -102.0240728
1666830|0166|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.8008348  -100.7363186
1675017|0167|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.6267917  -100.4066265
1684448|0168|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|UNIX|||20.9547722  -89.6475216
1696062|0169|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.2357634  -86.8039557999999
1706062|0170|HARD|DESCENDIO23|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|22.7358632  -98.9650771
1716062|0171|BIG|NIMBUS 2000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.205305  -98.419909
