SK|ATM|Marca|Modelo|Tipo_dispositivo|Tipo_monitor|Estatus_dispositivo|Sistema_Operativo|Denominacion_caseteros|Biometrico|Geolocaliza
97756665|9775|STRONG|LEVIOSA 868|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|21.480036  -101.216217
97761871|9776|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.429637  -100.347791
97771871|9777|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.429637  -100.347791
97786062|9778|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|25.649447  -100.290306
97796062|9779|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|20 50 100 500|INSTALADO|25.651415  -100.290127
97801871|9780|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.429637  -100.347791
97813524|9781|DUTY|STUPIFY|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.398892  -99.136941
97826062|9782|DUTY|NINFUS 1000|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|50 100 200 500|NO INSTALADO|25.6718  -100.298
97836062|9783|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|16.7487  -93.081
97843742|9784|STRONG|LEVIOSA 868|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.011258  -98.188416
97856062|9785|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|19.11488  -98.241803
97866062|9786|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|20 100 200 500|NO INSTALADO|25.7324  -100.29
97876062|9787|BIG|NIMBUS 2000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|25.71198  -100.316945
97881871|9788|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.429637  -100.347791
